word	phones	word_info	u-point	u-point_mass	prefix	prefix_info	suffix	suffix_info	morpheme_count
spec	spEk	9.466032449553433	3	3227	spE	8.735317500109456	k	1.389232030394151	0
spectacular	spEkt@kyxlR	8.819047333422928	10	3250	spEkt@kyxl	10.522581531254831	R	1.0987519712878187	1
spectacularly	spEkt@kyxlRli	9.29231796970117	11	3250	spEkt@kyxlR	9.535275376620804	li	0.6292405378534742	1
specter	spEktR	5.8314184634704445	5	3238	spEkt	5.550621516066599	R	1.0987519712878187	-1
spectator	spEktetR	8.854838506949317	5	3238	spEkt	5.550621516066599	etR	1.2339850002884625	0
spectrometer	spEktramxtR	5.127530372379967	10	3253	spEktramxt	8.214736063431674	R	1.0987519712878187	-1
spectrometry	spEktramxtri	8.7714894695006	10	3253	spEktramxt	8.214736063431674	ri	0.9031634134442523	-1
spectroscopy	spEktraskxpi	9.643582214286287	7	3247	spEktra	-0.0	skxpi	-0.0	-1
spectrograph	spEktrxgr@f	8.492935026272363	7	3247	spEktrx	6.478932308796945	gr@f	1.5283208335737186	-1
spectral	spEktrxl	10.555037997595013	7	3247	spEktrx	6.478932308796945	l	0.9933501369082647	1
spectrum	spEktrxm	8.021119446681796	7	3247	spEktrx	6.478932308796945	m	1.741999788885468	0
spectacle	spEktxkxl	8.411803360270024	5	3238	spEkt	5.550621516066599	xkxl	1.2264232143887366	0
speckled	spEkxld	2.6968638847288533	4	3227	spEk	2.0	xld	0.5	1
speculation	spEkyxleSxn	7.459109353253597	8	3242	spEkyxle	9.730760706684977	Sxn	1.0258451301009608	1
speculate	spEkyxlet	9.44018801254257	8	3244	spEkyxle	9.730760706684977	t	1.0589451792400202	0
speculator	spEkyxletR	8.533139540246125	9	3244	spEkyxlet	10.522581531254831	R	1.0987519712878187	1
speculative	spEkyxlxtxv	9.280329266482061	7	3239	spEkyxl	2.321928094887362	xtxv	0.7169925001442312	1
spell	spEl	8.101438346510404	3	3215	spE	8.735317500109456	l	0.9933501369082647	0
speller	spElR	9.626936703825386	4	3215	spEl	10.495602787086426	R	1.0987519712878187	1
spellbound	spElbWnd	7.475077936560406	5	3217	spElb	1.7297158093186489	Wnd	0.8713602273382869	1
spellbinding	spElbYndxN	11.979883647804504	5	3217	spElb	1.7297158093186489	YndxN	1.0	-1
spelling	spElxN	7.977128843128787	4	3215	spEl	10.495602787086426	xN	0.9608545890204996	0
spend	spEnd	6.964152974200868	4	3219	spEn	10.839198414869418	d	1.0782899628472473	0
spender	spEndR	7.075097969474454	5	3219	spEnd	6.997068524724284	R	1.0987519712878187	1
spendthrift	spEndTrIft	9.683913635665757	5	3219	spEnd	6.997068524724284	TrIft	1.5849625007211563	1
spending	spEndxN	5.96377767017819	5	3219	spEnd	6.997068524724284	xN	0.9608545890204996	-1
spent	spEnt	6.019001062588461	4	3215	spEn	10.839198414869418	t	1.0589451792400202	0
spare	spEr	9.320670227431295	3	3214	spE	8.735317500109456	r	1.5165513584881885	0
sparrow	spEro	7.892186793527616	4	3214	spEr	7.622051819456376	o	1.5430192652481562	0
sparing	spErxN	9.834307126135878	5	3218	spErx	9.581200581924957	N	1.1580395489056459	0
sparingly	spErxNli	6.311439945312346	6	3218	spErxN	9.535275376620804	li	0.6292405378534742	1
specificity	spEsxfIsxti	8.978440772721017	6	3224	spEsxf	4.553926032590662	Isxti	0.8339850002884625	1
specify	spEsxfY	9.652661157722815	6	3226	spEsxf	4.553926032590662	Y	1.4706645257033515	0
specified	spEsxfYd	9.798139010392376	7	3226	spEsxfY	10.835260918627489	d	1.0782899628472473	-1
specification	spEsxfxkeSxn	7.278924754827058	6	3224	spEsxf	4.553926032590662	xkeSxn	1.0062935185719375	1
specimen	spEsxmxn	7.312404168616592	5	3220	spEsx	5.426264754702098	mxn	1.9465047569846219	0
